Id,Predicted
1,2264
2,2072
3,6492
4,7567
5,8297
6,7434
7,9524
8,1650
9,476
10,4386
11,1326
12,5770
13,5688
14,4010
15,6898
16,2919
17,2924
18,4312
19,5939
20,3959
21,7187
22,6543
23,5484
24,8704
25,7603
26,9765
27,8925
28,2378
29,3300
30,8900
31,6311
32,5150
33,9704
34,1463
35,7141
36,3815
37,2209
38,1561
39,2717
40,2523
41,3752
42,8746
43,6975
44,2989
45,6156
46,8310
47,7110
48,5895
49,2269
50,8329
51,2788
52,2493
53,3242
54,35
55,3259
56,3627
57,6455
58,1881
59,4375
60,1408
61,1775
62,1254
63,8746
64,7326
65,519
66,6534
67,4986
68,5647
69,4316
70,2608
71,4694
72,7715
73,2227
74,3459
75,7671
76,1653
77,1926
78,2475
79,3417
80,3644
81,4925
82,7813
83,2022
84,5625
85,4310
86,7180
87,8930
88,1279
89,3635
90,2362
91,9956
92,3972
93,6539
94,8534
95,6961
96,1769
97,9353
98,4634
99,8310
100,6829
101,1709
102,5070
103,6900
104,7592
105,1004
106,7388
107,4575
108,957
109,8020
110,5087
111,2868
112,8795
113,8539
114,6595
115,3396
116,6086
117,2378
118,3623
119,1177
120,7312
121,4114
122,2929
123,7573
124,5541
125,2485
126,7384
127,4968
128,3912
129,8464
130,9151
131,6941
132,7001
133,3815
134,4279
135,9831
136,1319
137,5785
138,2593
139,9646
140,8654
141,4027
142,8651
143,8040
144,256
145,5175
146,7944
147,1188
148,3652
149,86
150,5607
151,5498
152,8872
153,2588
154,8718
155,10000
156,8746
157,1031
158,4367
159,2661
160,3508
161,2788
162,3768
163,9765
164,6035
165,2477
166,28
167,8514
168,4264
169,1134
170,3259
171,8746
172,4584
173,2175
174,3387
175,2875
176,1003
177,3315
178,9873
179,8530
180,3472
181,1352
182,1853
183,9220
184,4124
185,6426
186,1483
187,5901
188,4133
189,4504
190,9558
191,2692
192,2205
193,4072
194,1680
195,2876
196,2773
197,9221
198,9981
199,2621
200,3513
201,4019
202,8839
203,7991
204,9890
205,3999
206,8746
207,8795
208,4896
209,8989
210,2445
211,7646
212,1575
213,8019
214,4310
215,3603
216,4360
217,3403
218,1573
219,7430
220,1767
221,4391
222,2135
223,8746
224,941
225,5246
226,1695
227,3578
228,2551
229,1389
230,1178
231,4888
232,2227
233,8401
234,2767
235,4224
236,9203
237,1265
238,8582
239,5004
240,2590
241,6997
242,1623
243,9221
244,910
245,4605
246,1754
247,9697
248,801
249,7743
250,2016
251,519
252,1374
253,2968
254,1302
255,4031
256,699
257,6799
258,4709
259,7415
260,9074
261,2132
262,1107
263,6618
264,8770
265,1052
266,5871
267,3061
268,2024
269,3837
270,9515
271,4302
272,6877
273,8772
274,8674
275,8511
276,8746
277,5248
278,2413
279,6775
280,6568
281,279
282,8746
283,1550
284,4773
285,3540
286,6290
287,8342
288,2523
289,6504
290,3787
291,1709
292,4221
293,8075
294,643
295,826
296,2642
297,4557
298,2823
299,6581
300,6561
301,6265
302,9786
303,6623
304,8854
305,7957
306,2797
307,5586
308,3445
309,994
310,3880
311,6006
312,2527
313,9532
314,7245
315,9404
316,9725
317,8746
318,7981
319,1625
320,8746
321,4977
322,8406
323,3167
324,6650
325,1424
326,9210
327,4223
328,7487
329,9890
330,4427
331,9191
332,4411
333,7254
334,9074
335,8746
336,8612
337,5563
338,3175
339,4660
340,7616
341,2689
342,8139
343,8564
344,3373
345,2785
346,4937
347,1113
348,6322
349,7775
350,9150
351,890
352,5987
353,5942
354,2344
355,1758
356,8111
357,6558
358,8498
359,2861
360,3835
361,8151
362,2578
363,5411
364,578
365,730
366,7026
367,2000
368,3142
369,9622
370,2497
371,3168
372,3168
373,5258
374,6982
375,8176
376,5459
377,3648
378,6698
379,3933
380,7286
381,3455
382,810
383,4466
384,4850
385,9689
386,1657
387,305
388,5888
389,5800
390,5693
391,7590
392,4742
393,4448
394,8190
395,9796
396,7306
397,7921
398,2591
399,7415
400,6347
401,4062
402,2873
403,5150
404,2716
405,3152
406,7581
407,9889
408,1378
409,2779
410,8075
411,9257
412,8714
413,154
414,2416
415,2024
416,6533
417,4953
418,4648
419,2593
420,5419
421,305
422,8116
423,2500
424,7254
425,643
426,7253
427,4937
428,8206
429,5354
430,1583
431,115
432,589
433,2867
434,2588
435,3951
436,5419
437,3846
438,1095
439,6834
440,8666
441,4634
442,7434
443,2504
444,5927
445,5060
446,8161
447,6372
448,8739
449,4496
450,578
451,3439
452,1007
453,9720
454,880
455,6385
456,4477
457,4228
458,9629
459,2916
460,1043
461,2505
462,5798
463,3434
464,4427
465,1875
466,892
467,5743
468,4530
469,9542
470,9756
471,3141
472,6200
473,8865
474,3427
475,7995
476,9522
477,4718
478,4914
479,2670
480,1634
481,2188
482,745
483,4308
484,1614
485,1189
486,9670
487,2378
488,2900
489,592
490,4851
491,4317
492,1066
493,6147
494,3634
495,7433
496,4543
497,8065
498,7575
499,2889
500,4262
501,3745
502,1431
503,5507
504,4476
505,189
506,3294
507,5316
508,3536
509,3815
510,4044
511,9312
512,2643
513,9629
514,8944
515,3815
516,4656
517,9495
518,3566
519,5525
520,8746
521,717
522,1623
523,4337
524,229
525,6561
526,8829
527,1667
528,3122
529,1101
530,8911
531,464
532,8830
533,1194
534,3014
535,2835
536,6625
537,7222
538,7788
539,281
540,7497
541,683
542,9312
543,6610
544,3779
545,2968
546,9199
547,8746
548,794
549,6349
550,2793
551,852
552,489
553,1870
554,4687
555,1650
556,5187
557,9025
558,8746
559,782
560,6729
561,9151
562,7168
563,1017
564,6995
565,7581
566,8186
567,9074
568,8735
569,7593
570,4285
571,2186
572,5528
573,1727
574,5662
575,8625
576,301
577,8308
578,4928
579,2598
580,1603
581,8892
582,9589
583,2504
584,9495
585,6854
586,6293
587,4166
588,8605
589,9970
590,9043
591,3571
592,8838
593,2761
594,4266
595,2382
596,8833
597,1054
598,8746
599,4868
600,373
601,736
602,2997
603,1017
604,6955
605,6213
606,6595
607,1179
608,1857
609,7554
610,5086
611,5750
612,6017
613,15
614,675
615,1709
616,4950
617,4401
618,3175
619,8746
620,4179
621,1825
622,104
623,4325
624,6136
625,2378
626,8494
627,8051
628,5238
629,858
630,9075
631,3899
632,6306
633,7008
634,1224
635,8205
636,1649
637,8746
638,5364
639,1882
640,2024
641,5342
642,2886
643,3869
644,1193
645,6805
646,6522
647,7775
648,8415
649,9312
650,6611
651,291
652,8989
653,8719
654,8722
655,1002
656,6160
657,9425
658,5733
659,9714
660,7223
661,1261
662,8546
663,1088
664,3399
665,4323
666,9356
667,4062
668,2973
669,999
670,2420
671,9820
672,2031
673,5333
674,8064
675,7821
676,9681
677,5575
678,5597
679,4150
680,7621
681,1163
682,5519
683,4575
684,5498
685,8839
686,9731
687,8187
688,996
689,5439
690,7551
691,6964
692,9283
693,1561
694,6173
695,8982
696,8689
697,2971
698,2504
699,792
700,6483
701,3097
702,8769
703,7861
704,176
705,8582
706,1389
707,2985
708,265
709,4465
710,9043
711,2767
712,4509
713,996
714,3179
715,6057
716,1292
717,2584
718,2523
719,2466
720,8425
721,1941
722,726
723,2985
724,2038
725,175
726,8036
727,5258
728,3802
729,840
730,6119
731,1717
732,9595
733,1108
734,451
735,8179
736,2110
737,1729
738,996
739,106
740,817
741,2868
742,189
743,5276
744,6147
745,5091
746,8408
747,8746
748,4318
749,8566
750,9747
751,9854
752,2416
753,7267
754,7168
755,6240
756,4622
757,5989
758,9831
759,8746
760,1972
761,7470
762,2343
763,2939
764,1187
765,8539
766,4468
767,1012
768,9766
769,3285
770,7640
771,487
772,4436
773,9831
774,9269
775,2022
776,7149
777,7352
778,1363
779,1561
780,4100
781,8951
782,3892
783,9935
784,910
785,6876
786,8310
787,5148
788,1383
789,8967
790,7025
791,8712
792,1533
793,5672
794,28
795,5990
796,8932
797,953
798,9618
799,9701
800,7811
801,1044
802,6803
803,5040
804,4415
805,3312
806,4229
807,7873
808,6755
809,3607
810,8711
811,5086
812,1316
813,5800
814,3119
815,2416
816,7523
817,8234
818,9177
819,6711
820,9010
821,1779
822,1224
823,2033
824,1773
825,1282
826,5004
827,8630
828,7665
829,8970
830,2477
831,9095
832,6272
833,8090
834,8662
835,2559
836,5672
837,8824
838,6607
839,9312
840,6864
841,8075
842,8746
843,2124
844,9629
845,2504
846,5981
847,2863
848,6906
849,3588
850,4460
851,8572
852,3802
853,9039
854,9095
855,7636
856,6312
857,7
858,8669
859,4215
860,5040
861,3898
862,9950
863,4523
864,920
865,7637
866,4487
867,5467
868,7535
869,5040
870,1116
871,3079
872,4490
873,3726
874,543
875,6796
876,8342
877,4239
878,3815
879,2582
880,8746
881,4740
882,8746
883,7876
884,478
885,5122
886,6903
887,5607
888,7247
889,2467
890,5559
891,6504
892,2829
893,5990
894,6385
895,1634
896,9595
897,8546
898,3508
899,8790
900,4211
901,5217
902,1581
903,9869
904,5271
905,7218
906,6347
907,5607
908,7803
909,8711
910,6921
911,7715
912,1350
913,714
914,2834
915,2551
916,9919
917,1000
918,5359
919,5531
920,3152
921,1293
922,4099
923,9363
924,792
925,4406
926,6632
927,4095
928,1181
929,1966
930,7535
931,9988
932,1705
933,1777
934,726
935,8805
936,4133
937,6087
938,113
939,281
940,3645
941,2833
942,193
943,7813
944,6125
945,4809
946,3740
947,1717
948,7767
949,5038
950,9118
951,4415
952,6110
953,5127
954,9599
955,6361
956,8042
957,3808
958,638
959,4487
960,2368
961,6020
962,6850
963,5575
964,2000
965,7786
966,2523
967,5525
968,2219
969,6385
970,4210
971,9720
972,4518
973,6415
974,7437
975,115
976,2842
977,3815
978,2707
979,3845
980,4515
981,4583
982,4310
983,7866
984,4891
985,1270
986,8746
987,8189
988,4398
989,3812
990,2813
991,8452
992,4834
993,8746
994,8765
995,2504
996,2062
997,1623
998,5284
999,2855
1000,6626
1001,8746
1002,9552
1003,2661
1004,4089
1005,3995
1006,9313
1007,2935
1008,5040
1009,4013
1010,7230
1011,5602
1012,4405
1013,5685
1014,513
1015,3104
1016,7051
1017,3638
1018,2539
1019,5688
1020,1066
1021,2050
1022,243
1023,9947
1024,9970
1025,4644
1026,7931
1027,6796
1028,2504
1029,8433
1030,7352
1031,1295
1032,411
1033,1088
1034,1094
1035,486
1036,6349
1037,2207
1038,6118
1039,9287
1040,1989
1041,6465
1042,5675
1043,7027
1044,331
1045,853
1046,2767
1047,1293
1048,8403
1049,3494
1050,7438
1051,2707
1052,1623
1053,9845
1054,5245
1055,4181
1056,2382
1057,7553
1058,2011
1059,916
1060,7939
1061,3116
1062,3908
1063,5161
1064,1532
1065,7064
1066,1113
1067,5190
1068,7879
1069,8182
1070,803
1071,1807
1072,2089
1073,7241
1074,4043
1075,1746
1076,4545
1077,5357
1078,7072
1079,9587
1080,4597
1081,2551
1082,5688
1083,4587
1084,6510
1085,4627
1086,4401
1087,5625
1088,3581
1089,9849
1090,6087
1091,1687
1092,1709
1093,5459
1094,6955
1095,354
1096,6083
1097,8814
1098,231
1099,1719
1100,8161
1101,2126
1102,4592
1103,4573
1104,8771
1105,3389
1106,5112
1107,7168
1108,2047
1109,5896
1110,3815
1111,3980
1112,8746
1113,5461
1114,4472
1115,792
1116,8599
1117,8656
1118,2280
1119,2418
1120,1258
1121,8452
1122,8165
1123,8498
1124,7408
1125,6446
1126,7431
1127,8672
1128,4450
1129,4716
1130,4700
1131,9010
1132,8311
1133,86
1134,3182
1135,3548
1136,6949
1137,8272
1138,7706
1139,3674
1140,949
1141,1902
1142,6838
1143,6716
1144,4600
1145,6198
1146,6561
1147,3522
1148,7302
1149,9820
1150,454
1151,7499
1152,9328
1153,3508
1154,1729
1155,982
1156,3170
1157,2873
1158,352
1159,5968
1160,5187
1161,1209
1162,8746
1163,4418
1164,8093
1165,1285
1166,363
1167,3801
1168,7813
1169,5648
1170,1359
1171,8882
1172,9595
1173,2357
1174,5187
1175,2549
1176,5232
1177,643
1178,6514
1179,4099
1180,1224
1181,7607
1182,4969
1183,2291
1184,3455
1185,506
1186,7340
1187,1360
1188,7523
1189,5404
1190,5075
1191,471
1192,9788
1193,5812
1194,7091
1195,2232
1196,6811
1197,2536
1198,2727
1199,379
1200,8746
1201,8763
1202,605
1203,883
1204,2499
1205,1017
1206,3987
1207,1027
1208,3244
1209,4750
1210,7699
1211,6827
1212,8411
1213,3965
1214,3913
1215,5217
1216,3128
1217,3865
1218,7710
1219,4477
1220,4310
1221,4017
1222,4133
1223,9402
1224,2378
1225,1532
1226,6237
1227,6449
1228,2794
1229,7984
1230,5743
1231,4757
1232,5182
1233,2591
1234,9725
1235,1822
1236,8746
1237,5430
1238,9714
1239,4866
1240,8746
1241,5528
1242,3312
1243,8965
1244,6434
1245,3658
1246,1625
1247,4505
1248,9691
1249,1128
1250,3951
1251,9354
1252,6966
1253,2985
1254,8788
1255,5040
1256,8017
1257,1623
1258,8788
1259,6925
1260,989
1261,3836
1262,3081
1263,7388
1264,8064
1265,9771
1266,8463
1267,4712
1268,9430
1269,5262
1270,25
1271,9595
1272,2959
1273,1911
1274,352
1275,5262
1276,8464
1277,5610
1278,57
1279,8310
1280,4835
1281,5214
1282,580
1283,2384
1284,5766
1285,5198
1286,8576
1287,1659
1288,3129
1289,2833
1290,9790
1291,4013
1292,87
1293,3508
1294,8140
1295,8666
1296,8406
1297,8879
1298,641
1299,1650
1300,363
1301,802
1302,7017
1303,243
1304,1547
1305,4694
1306,3816
1307,3566
1308,4330
1309,8746
1310,5860
1311,5927
1312,5148
1313,342
1314,6300
1315,4208
1316,5950
1317,2771
1318,5990
1319,7274
1320,632
1321,8746
1322,3198
1323,6558
1324,8689
1325,1193
1326,9010
1327,230
1328,4688
1329,1198
1330,6336
1331,8381
1332,3165
1333,550
1334,578
1335,7775
1336,3972
1337,841
1338,4648
1339,5149
1340,992
1341,331
1342,8114
1343,3039
1344,5131
1345,7386
1346,644
1347,1644
1348,2665
1349,8309
1350,1729
1351,1155
1352,280
1353,3060
1354,4857
1355,9842
1356,8754
1357,564
1358,3373
1359,4110
1360,9974
1361,8746
1362,1344
1363,5572
1364,8893
1365,8561
1366,3865
1367,2996
1368,2859
1369,8545
1370,6349
1371,8235
1372,3067
1373,6823
1374,3815
1375,987
1376,3722
1377,3402
1378,3687
1379,1743
1380,1753
1381,3233
1382,9850
1383,4858
1384,9174
1385,3475
1386,6150
1387,8746
1388,1822
1389,6854
1390,3097
1391,6605
1392,2800
1393,2629
1394,6332
1395,6355
1396,4077
1397,9889
1398,4369
1399,2551
1400,7935
1401,584
1402,8863
1403,1998
1404,6568
1405,6585
1406,8283
1407,8405
1408,8506
1409,9932
1410,8724
1411,5276
1412,4965
1413,5398
1414,3039
1415,6489
1416,6597
1417,1378
1418,387
1419,5479
1420,7070
1421,7853
1422,9595
1423,1576
1424,6744
1425,2120
1426,9586
1427,918
1428,296
1429,2551
1430,8114
1431,4164
1432,3768
1433,929
1434,992
1435,4789
1436,5166
1437,3484
1438,4478
1439,5780
1440,5076
1441,7152
1442,6385
1443,8746
1444,8277
1445,1669
1446,1623
1447,6411
1448,3045
1449,5685
1450,8199
1451,9102
1452,8863
1453,2031
1454,3405
1455,3540
1456,8133
1457,3722
1458,673
1459,7315
1460,2559
1461,5374
1462,6668
1463,4575
1464,2357
1465,352
1466,2513
1467,7278
1468,8396
1469,885
1470,3389
1471,9714
1472,465
1473,7641
1474,3815
1475,9828
1476,5499
1477,7600
1478,2672
1479,1044
1480,1908
1481,8821
1482,7924
1483,703
1484,5519
1485,28
1486,935
1487,1303
1488,2476
1489,8595
1490,3324
1491,9976
1492,9596
1493,3896
1494,901
1495,8316
1496,52
1497,9482
1498,8746
1499,7170
1500,2226
1501,1590
1502,7529
1503,8746
1504,921
1505,5276
1506,7715
1507,8937
1508,8346
1509,6293
1510,6838
1511,2985
1512,2551
1513,8687
1514,9213
1515,5619
1516,1066
1517,3068
1518,8564
1519,767
1520,2985
1521,8316
1522,5867
1523,913
1524,9627
1525,3601
1526,1144
1527,6003
1528,4159
1529,4854
1530,9663
1531,6864
1532,5827
1533,2504
1534,2416
1535,3863
1536,6460
1537,2930
1538,1882
1539,7018
1540,4041
1541,9053
1542,2971
1543,3815
1544,1883
1545,9826
1546,4013
1547,1855
1548,725
1549,933
1550,5883
1551,2299
1552,9654
1553,2477
1554,4124
1555,3303
1556,8612
1557,6482
1558,7992
1559,1224
1560,281
1561,221
1562,4557
1563,2238
1564,4709
1565,9719
1566,2672
1567,21
1568,3877
1569,916
1570,8707
1571,2503
1572,566
1573,5320
1574,6488
1575,3740
1576,1113
1577,2378
1578,7453
1579,9317
1580,174
1581,3493
1582,9595
1583,353
1584,7499
1585,4224
1586,2413
1587,8973
1588,3475
1589,1613
1590,1854
1591,2433
1592,8054
1593,8834
1594,6936
1595,987
1596,5527
1597,8724
1598,2756
1599,4126
1600,9691
1601,1678
1602,6027
1603,3008
1604,5633
1605,8272
1606,7815
1607,8746
1608,4580
1609,7593
1610,6354
1611,8186
1612,1363
1613,7715
1614,1385
1615,4183
1616,2086
1617,212
1618,9308
1619,852
1620,3658
1621,4414
1622,4965
1623,7169
1624,4382
1625,4398
1626,5371
1627,9111
1628,3146
1629,953
1630,488
1631,1049
1632,9917
1633,6364
1634,8746
1635,8561
1636,8549
1637,709
1638,5835
1639,4588
1640,1224
1641,5437
1642,552
1643,4100
1644,6160
1645,2611
1646,750
1647,9553
1648,5676
1649,3373
1650,9599
1651,2436
1652,2753
1653,8495
1654,1344
1655,1781
1656,572
1657,6354
1658,9203
1659,2767
1660,8555
1661,1193
1662,1360
1663,4562
1664,4906
1665,5776
1666,9277
1667,2723
1668,9768
1669,9069
1670,5271
1671,740
1672,363
1673,202
1674,3502
1675,9629
1676,3314
1677,6791
1678,2532
1679,3801
1680,9876
1681,9126
1682,1602
1683,8159
1684,9074
1685,2378
1686,4941
1687,6703
1688,979
1689,2120
1690,9907
1691,7418
1692,5463
1693,604
1694,2803
1695,9148
1696,9930
1697,354
1698,2968
1699,8769
1700,3769
1701,582
1702,2788
1703,2514
1704,3087
1705,7579
1706,4948
1707,1821
1708,4287
1709,6096
1710,4792
1711,4084
1712,8161
1713,8746
1714,7588
1715,8746
1716,5190
1717,544
1718,6854
1719,7108
1720,3129
1721,4084
1722,602
1723,8746
1724,1009
1725,5153
1726,4530
1727,5896
1728,2416
1729,3014
1730,8782
1731,6805
1732,2382
1733,974
1734,2091
1735,1012
1736,1442
1737,7836
1738,3137
1739,2692
1740,8797
1741,4747
1742,2788
1743,643
1744,7415
1745,2487
1746,8573
1747,7372
1748,2736
1749,7007
1750,3389
1751,1667
1752,685
1753,2534
1754,2025
1755,2387
1756,5978
1757,1416
1758,5076
1759,4450
1760,6194
1761,7387
1762,8523
1763,4747
1764,4976
1765,7680
1766,2917
1767,7593
1768,115
1769,817
1770,7736
1771,8980
1772,1102
1773,3195
1774,9148
1775,3907
1776,6809
1777,2255
1778,2728
1779,9704
1780,5632
1781,6359
1782,6542
1783,3707
1784,1659
1785,8541
1786,8316
1787,5140
1788,8081
1789,3656
1790,4681
1791,5962
1792,1911
1793,4002
1794,6175
1795,9166
1796,3191
1797,5439
1798,8297
1799,2209
1800,9312
1801,9583
1802,9435
1803,1293
1804,3356
1805,8746
1806,578
1807,6772
1808,1026
1809,8203
1810,2968
1811,7441
1812,643
1813,5198
1814,7690
1815,2200
1816,5632
1817,9853
1818,2771
1819,5197
1820,9991
1821,2257
1822,3039
1823,3142
1824,3995
1825,8746
1826,518
1827,4593
1828,8872
1829,3265
1830,4556
1831,3375
1832,1101
1833,5427
1834,5217
1835,6514
1836,6198
1837,1846
1838,6940
1839,3328
1840,8310
1841,8746
1842,9245
1843,3863
1844,1344
1845,4977
1846,7832
1847,1416
1848,9765
1849,7367
1850,9773
1851,4426
1852,611
1853,7398
1854,4508
1855,9524
1856,6970
1857,2414
1858,3508
1859,8746
1860,9011
1861,7508
1862,4491
1863,601
1864,5566
1865,5480
1866,9370
1867,2513
1868,9890
1869,3645
1870,2222
1871,4742
1872,2666
1873,3334
1874,9442
1875,2692
1876,9734
